iter	Passed	Remaining
0	113	113328
1	115	57532
2	117	39019
3	119	29729
4	121	24150
5	123	20387
6	124	17724
7	126	15713
8	128	14175
9	131	12971
10	133	11985
11	135	11138
12	137	10420
13	139	9811
14	141	9276
15	143	8810
16	145	8409
17	147	8057
18	149	7727
19	151	7423
20	153	7145
21	155	6893
22	156	6664
23	158	6464
24	161	6290
25	163	6116
26	165	5959
27	167	5815
28	169	5677
29	171	5545
30	173	5426
31	175	5319
32	177	5206
33	179	5100
34	181	4996
35	183	4903
36	185	4815
37	186	4733
38	189	4659
39	191	4592
40	193	4518
41	194	4446
42	196	4380
43	198	4316
44	200	4262
45	203	4216
46	205	4171
47	207	4116
48	209	4065
49	211	4011
50	213	3964
51	214	3915
52	216	3871
53	218	3834
54	220	3791
55	222	3753
56	224	3711
57	226	3673
58	227	3634
59	229	3599
60	231	3566
61	234	3542
62	236	3512
63	237	3479
64	239	3448
65	241	3418
66	243	3389
67	245	3361
68	247	3337
69	249	3314
70	251	3288
71	253	3263
72	255	3241
73	257	3216
74	258	3191
75	260	3169
76	262	3148
77	264	3127
78	266	3105
79	268	3083
80	269	3061
81	271	3042
82	272	3013
83	274	2992
84	276	2975
85	278	2961
86	280	2942
87	282	2924
88	283	2905
89	285	2887
90	287	2873
91	289	2858
92	292	2848
93	295	2848
94	297	2832
95	299	2820
96	301	2805
97	303	2791
98	305	2778
99	307	2769
100	309	2757
101	311	2743
102	313	2729
103	315	2715
104	317	2703
105	319	2691
106	320	2678
107	323	2673
108	325	2661
109	327	2649
110	329	2637
111	331	2629
112	333	2618
113	335	2607
114	337	2598
115	339	2589
116	341	2576
117	342	2562
118	344	2549
119	345	2534
120	347	2521
121	348	2506
122	349	2493
123	351	2480
124	352	2467
125	353	2455
126	355	2442
127	356	2427
128	357	2413
129	358	2398
130	359	2384
131	360	2370
132	361	2355
133	362	2341
134	363	2328
135	364	2314
136	365	2302
137	367	2292
138	368	2282
139	369	2269
140	370	2256
141	370	2241
142	371	2228
143	372	2216
144	373	2204
145	374	2191
146	375	2179
147	376	2167
148	377	2155
149	378	2142
150	378	2130
151	379	2118
152	380	2107
153	381	2095
154	382	2083
155	383	2072
156	383	2061
157	384	2050
158	385	2039
159	386	2028
160	386	2016
161	387	2005
162	388	1995
163	389	1984
164	390	1974
165	390	1963
166	391	1953
167	392	1943
168	393	1933
169	394	1924
170	395	1916
171	396	1906
172	397	1897
173	397	1888
174	398	1879
175	399	1869
176	400	1860
177	400	1851
178	401	1842
179	402	1833
180	403	1824
181	403	1815
182	404	1807
183	405	1799
184	406	1790
185	407	1781
186	408	1773
187	408	1765
188	409	1758
189	410	1751
190	411	1744
191	412	1736
192	413	1728
193	414	1720
194	414	1712
195	415	1704
196	416	1697
197	417	1689
198	417	1681
199	418	1674
200	419	1667
201	420	1660
202	421	1653
203	421	1646
204	422	1639
205	423	1632
206	424	1625
207	425	1620
208	426	1613
209	427	1606
210	427	1599
211	428	1592
212	429	1586
213	429	1579
214	430	1572
215	431	1565
216	432	1559
217	432	1552
218	433	1545
219	434	1538
220	434	1532
221	435	1526
222	436	1519
223	436	1513
224	437	1507
225	438	1500
226	439	1495
227	440	1489
228	440	1484
229	441	1479
230	442	1474
231	443	1469
232	444	1464
233	445	1459
234	446	1453
235	447	1448
236	447	1442
237	448	1436
238	449	1430
239	450	1425
240	450	1419
241	451	1413
242	452	1408
243	452	1403
244	453	1398
245	454	1393
246	455	1389
247	456	1384
248	457	1379
249	457	1373
250	458	1368
251	459	1363
252	459	1357
253	460	1352
254	461	1347
255	461	1342
256	462	1337
257	463	1332
258	464	1327
259	464	1322
260	465	1318
261	466	1313
262	466	1308
263	467	1303
264	468	1299
265	469	1295
266	470	1291
267	470	1286
268	471	1281
269	472	1277
270	473	1272
271	473	1268
272	474	1263
273	475	1259
274	476	1255
275	476	1250
276	477	1246
277	478	1241
278	478	1237
279	479	1232
280	480	1228
281	481	1225
282	482	1221
283	483	1218
284	484	1214
285	485	1210
286	486	1207
287	487	1204
288	487	1200
289	488	1197
290	489	1193
291	490	1189
292	491	1185
293	492	1181
294	493	1178
295	493	1174
296	494	1171
297	495	1167
298	496	1164
299	497	1161
300	498	1157
301	499	1154
302	500	1150
303	501	1147
304	502	1143
305	502	1140
306	503	1137
307	504	1133
308	505	1130
309	506	1127
310	507	1123
311	508	1120
312	508	1117
313	509	1113
314	510	1110
315	511	1107
316	512	1104
317	513	1101
318	514	1098
319	515	1095
320	516	1091
321	516	1088
322	517	1084
323	518	1081
324	519	1078
325	520	1075
326	520	1072
327	521	1068
